diameter,density,gas_density,gas_viscosity,sphericity,voidage,umf
146.66,2398.89,1.212,1.81E-05,0.795,0.45,5.7
1469,1242,1.212,1.81E-05,0.43,0.45,21.2
147,2398.89,1.212,1.81E-05,0.795,0.518,2.8
147,2650,1.18372,1.85E-05,0.86,0.46,1.8
147,2500,1.212,1.81E-05,1,0.4,2.2
1475,1585,1.212,1.81E-05,1,0.45,48.4
148,7831,1.212,1.81E-05,0.55,0.45,5.9
149,2450,1.212,1.81E-05,1,0.45,1.6
15,3095,1.212,1.81E-05,1,0.45,0.032
15,2140,1.212,1.81E-05,1,0.45,0.02
150,2600,1.212,1.81E-05,1,0.45,2.367
150,1000,1.13,1.80E-05,1,0.45,0.85
150,2600,1.212,1.81E-05,1,0.45,2
150,2650,1.212,1.81E-05,1,0.45,1.9
150,2640,1.212,1.81E-05,1,0.45,4.2
150,2000,1.2,1.79E-05,1,0.6,1.2
150,1000,1.212,1.81E-05,1,0.45,1.2
150,2640,1.212,1.81E-05,1,0.45,3.958
150,7485,1.212,1.81E-05,1,0.45,8
150,2325,1.212,1.78E-05,1,0.45,2
150,2620,1.212,1.81E-05,1,0.45,3.03
150,2450,1.212,1.81E-05,1,0.45,1.7
150,7250,1.21,1.79E-05,1,0.45,7.07
150,2700,1.212,1.81E-05,1,0.45,2.87
150,2600,1.035323615,2.05E-05,1,0.45,2
150,3170,1.212,1.81E-05,1,0.45,2.43
150,2500,1.212,1.81E-05,1,0.45,1.9
150,1178.6,1.212,1.81E-05,1,0.45,2
150,2640,1.212,1.81E-05,1,0.45,2.9
150,2330,1.212,1.81E-05,0.75,0.45,1.876
1500,2526,1.212,1.81E-05,1,0.45,78
1500,1180,1.212,1.81E-05,1,0.45,50
1500,1180,1.2,1.80E-05,1,0.42,50
1500,2523,1.212,1.81E-05,1,0.45,78
1500,2400,1.212,1.81E-05,1,0.45,85
1500,2526,1.212,1.81E-05,1,0.45,93
1500,2526,1.212,1.81E-05,1,0.45,87
1500,1040,1.212,1.81E-05,1,0.45,52.7
1500,2523,1.15,1.80E-05,1,0.45,78
1500,1391,1.212,1.81E-05,1,0.45,70
151,2150,0.316220837,4.55E-05,1,0.45,0.8
151,1382,1.212,1.81E-05,1,0.45,1.27
152,3200,1.212,1.81E-05,1,0.45,1.7
1520,1150,1.212,1.81E-05,1,0.45,47
153,3860,1.212,1.81E-05,1,0.45,2.6
154,2480,1.212,1.81E-05,1,0.45,2.32
1540,1380,1.212,1.81E-05,1,0.45,66.1
1540,1380,1.212,1.81E-05,1,0.45,60
1540,2450,1.212,1.81E-05,1,0.403,82
1545,610,1.212,1.81E-05,1,0.51,44.5
155,2846,1.212,1.81E-05,1,0.45,2.21
156,3200,1.212,1.81E-05,1,0.45,2.3
1560,635,1.212,1.81E-05,0.18,0.45,64.2
157,3120,1.212,1.81E-05,1,0.45,2.25
1570,740,1.212,1.81E-05,1,0.26,70
158,911,0.431489672,3.75E-05,1,0.41,1.2
158,8770,7.2,1.81E-05,1,0.45,8
160,950,1.212,1.81E-05,1,0.45,0.89
160,2600,1.212,1.81E-05,1,0.45,1.6
160,2600,1.212,1.81E-05,1,0.63,2
1600,1330,1.212,1.81E-05,1,0.45,58
1600,500,1.212,1.81E-05,0.25,0.79,60
1600,2520,1.212,1.81E-05,1,0.45,90
1600,360,1.212,1.81E-05,1,0.45,27
1600,650,1.212,1.81E-05,0.19,0.45,64
161,3200,0.316,4.70E-05,1,0.45,0.7
161,3200,0.288,4.10E-05,1,0.45,0.8
162,4200,1.212,1.81E-05,1,0.45,5
162,3130,1.19166443,1.84E-05,0.79,0.45,1.16
162,3130,0.395892977,3.96E-05,0.79,0.45,0.8
162,3246,1.172,1.86E-05,1,0.45,1.17
162,3130,0.347131965,4.30E-05,0.79,0.45,0.63
162,3130,0.330956198,4.42E-05,0.79,0.45,0.4
162,3130,0.302741688,4.67E-05,0.79,0.45,0.25
163,2520,1.212,1.81E-05,1,0.45,2.5
163,3200,1.212,1.81E-05,1,0.45,3.9
163,7300,7.2,1.81E-05,1,0.45,12
163,8900,1.212,1.81E-05,1,0.45,0.79
164,7790,1.212,1.81E-05,1,0.45,7
1640,1335,1.212,1.81E-05,1,0.45,58
165,2520,1.212,1.81E-05,1,0.45,2.5
1650,1164,1.212,1.81E-05,1,0.45,43
1650,1254,1.212,1.81E-05,1,0.45,50
170,2650,1.212,1.81E-05,1,0.45,3.1
170,3400,1.212,1.81E-05,1,0.45,3.95
170,7600,1.212,1.81E-05,1,0.45,6.9
171,3600,0.290364677,4.78E-05,0.7,0.45,2
171,2635,1.23,1.80E-05,1,0.41,3.4
171,2480,1.212,1.81E-05,1,0.45,2.3
171,3700,1.212,1.81E-05,1,0.45,2.5
172,2480,1.212,1.81E-05,1,0.45,2.8
172,1500,1.212,1.81E-05,1,0.45,2.2
174.3,7829,1.212,1.81E-05,1,0.45,7.8
175,2440,1.212,1.81E-05,1,0.38,2.9
175,3498,1.212,1.81E-05,1,0.45,3.5
175,1450,1.212,1.81E-05,1,0.45,2.56
175,690,1.212,1.81E-05,1,0.45,1.5
175,2650,1.212,1.81E-05,1,0.45,3.1
175,2650,1.212,1.81E-05,1,0.45,2.7
176,2500,1.212,1.81E-05,1,0.45,3.4
1769,2550,1.212,1.81E-05,1,0.45,94
179,2483,1.212,1.81E-05,1,0.45,3.4
180,2500,1.212,1.81E-05,1,0.45,2.7
180,5200,1.212,1.81E-05,1,0.45,8
180,7100,1.212,1.81E-05,1,0.45,9
180,2500,1.212,1.81E-05,1,0.45,3.2
180,1420,1.212,1.81E-05,1,0.45,1.3
1800,970,1.212,1.81E-05,1,0.45,50
1800,1040,1.212,1.81E-05,1,0.45,62
1800,3230,1.212,1.81E-05,0.96,0.45,54
1800,1040,1.212,1.81E-05,1,0.45,56
1800,3980,1.212,1.81E-05,1,0.45,56
1800,985,1.212,1.81E-05,0.96,0.45,53
181,4703,1.212,1.81E-05,0.92,0.45,6
181,2012,1.212,1.81E-05,1,0.45,8
181,3850,1.212,1.81E-05,1,0.45,5
181,4700,1.212,1.81E-05,0.92,0.45,6
1810,1650,1.212,1.81E-05,1,0.455,75
182,2600,1.212,1.81E-05,1,0.45,2.1
183,2640,1.212,1.81E-05,1,0.45,5.6
185,2483,1.212,1.81E-05,1,0.45,3.17
185,2846,1.212,1.81E-05,1,0.45,3.14
185,2500,1.212,1.81E-05,1,0.45,3.9
1850,900,1.212,1.81E-05,1,0.45,55
186,3720,1.212,1.81E-05,1,0.45,4.95
186,4200,1.212,1.81E-05,1,0.45,6.2
186,3720,0.316220837,4.55E-05,1,0.45,2.73
186,3720,0.619748691,2.96E-05,1,0.45,2.82
186,3720,1.212,1.81E-05,1,0.45,4.93
186,2450,1.212,1.81E-05,1,0.45,1.9
1870,1025,1.212,1.81E-05,1,0.45,47
188,2500,1.212,1.81E-05,1,0.45,3.8
1900,1140,1.212,1.81E-05,1,0.45,82
191,2630,1.212,1.81E-05,1,0.45,2.97
193.5,2591,1.212,1.81E-05,1,0.45,1.8
194,2450,1.212,1.81E-05,1,0.45,3.6
194,2635,1.212,1.81E-05,1,0.45,3.82
194,4100,1.212,1.81E-05,1,0.45,7
